Winkelposition, Messreihe #2
Zeit ( s )	Winkelposition ( rad )
53,6500	-0,898
53,7000	-0,107
53,7500	-1,865
53,8000	-0,148
53,8500	-0,836
53,9000	-1,588
53,9500	0,167
54,0000	-1,572
54,0500	-0,859
54,1000	-0,132
54,1500	-1,866
54,2000	-0,119
54,2500	-0,878
54,3000	-1,560
54,3500	0,167
54,4000	-1,601
54,4500	-0,818
54,5000	-0,165
54,5500	-1,865
54,6000	-0,093
54,6500	-0,917
54,7000	-1,532
54,7500	0,163
54,8000	-1,626
54,8500	-0,782
54,9000	-0,190
54,9500	-1,863
55,0000	-0,069
55,0500	-0,952
55,1000	-1,505
55,1500	0,160
55,2000	-1,645
55,2500	-0,749
55,3000	-0,214
55,3500	-1,860
55,4000	-0,052
55,4500	-0,983
55,5000	-1,481
55,5500	0,157
55,6000	-1,663
55,6500	-0,718
55,7000	-0,240
55,7500	-1,857
55,8000	-0,031
55,8500	-1,015
55,9000	-1,458
55,9500	0,154
56,0000	-1,681
56,0500	-0,688
56,1000	-0,264
56,1500	-1,852
56,2000	-0,016
56,2500	-1,040
56,3000	-1,434
56,3500	0,148
56,4000	-1,698
56,4500	-0,658
56,5000	-0,291
56,5500	-1,846
56,6000	0,005
56,6500	-1,078
56,7000	-1,404
56,7500	0,141
56,8000	-1,718
56,8500	-0,619
56,9000	-0,325
56,9500	-1,838
57,0000	0,025
57,0500	-1,117
57,1000	-1,368
57,1500	0,132
57,2000	-1,740
57,2500	-0,576
57,3000	-0,363
57,3500	-1,827
57,4000	0,049
57,4500	-1,159
57,5000	-1,327
57,5500	0,119
57,6000	-1,761
57,6500	-0,533
57,7000	-0,401
57,7500	-1,816
57,8000	0,066
57,8500	-1,199
57,9000	-1,293
57,9500	0,107
58,0000	-1,777
58,0500	-0,495
58,1000	-0,440
58,1500	-1,802
58,2000	0,082
58,2500	-1,238
58,3000	-1,257
58,3500	0,091
58,4000	-1,792
58,4500	-0,456
58,5000	-0,478
58,5500	-1,786
58,6000	0,097
58,6500	-1,275
58,7000	-1,214
58,7500	0,075
58,8000	-1,808
58,8500	-0,415
58,9000	-0,522
58,9500	-1,767
59,0000	0,115
59,0500	-1,319
59,1000	-1,170
59,1500	0,055
59,2000	-1,822
59,2500	-0,371
59,3000	-0,567
59,3500	-1,744
59,4000	0,129
59,4500	-1,367
59,5000	-1,122
59,5500	0,030
59,6000	-1,835
59,6500	-0,327
59,7000	-0,614
59,7500	-1,722
59,8000	0,141
59,8500	-1,404
59,9000	-1,078
59,9500	0,008
60,0000	-1,844
60,0500	-0,291
60,1000	-0,652
60,1500	-1,701
60,2000	0,148
60,2500	-1,431
60,3000	-1,045
60,3500	-0,013
60,4000	-1,850
60,4500	-0,264
60,5000	-0,683
60,5500	-1,684
60,6000	0,152
60,6500	-1,455
60,7000	-1,018
60,7500	-0,027
60,8000	-1,854
60,8500	-0,247
60,9000	-0,708
60,9500	-1,673
61,0000	0,156
61,0500	-1,469
61,1000	-1,002
61,1500	-0,036
61,2000	-1,855
61,2500	-0,237
61,3000	-0,715
61,3500	-1,667
61,4000	0,157
61,4500	-1,475
61,5000	-0,994
61,5500	-0,038
61,6000	-1,855
61,6500	-0,232

