#Temperatur, Messreihe #2
#Zeit ( s )	Temperatur ( °C )
158,6000	1,4
158,8000	1,4
159,0000	1,4
159,2000	1,4
159,4000	1,4
159,6000	1,4
159,8000	1,4
160,0000	1,4
160,2000	1,4
160,4000	1,4
160,6000	1,4
160,8000	1,4
161,0000	1,4
161,2000	1,4
161,4000	1,4
161,6000	1,4
161,8000	1,4
162,0000	1,4
162,2000	1,4
162,4000	1,4
162,6000	1,4
162,8000	1,4
163,0000	1,4
163,2000	1,4
163,4000	1,4
163,6000	1,4
163,8000	1,4
164,0000	1,4
164,2000	1,4
164,4000	1,5
164,6000	1,5
164,8000	1,5
165,0000	1,5
165,2000	1,5
165,4000	1,5
165,6000	1,5
165,8000	1,5
166,0000	1,5
166,2000	1,5
166,4000	1,5
166,6000	1,5
166,8000	1,5
167,0000	1,5
167,2000	1,5
167,4000	1,5
167,6000	1,5
167,8000	1,6
168,0000	1,6
168,2000	1,6
168,4000	1,6
168,6000	1,6
168,8000	1,6
169,0000	1,6
169,2000	1,6
169,4000	1,6
169,6000	1,6
169,8000	1,6
170,0000	1,6
170,2000	1,6
170,4000	1,6
170,6000	1,6
170,8000	1,6
171,0000	1,6
171,2000	1,6
171,4000	1,6
171,6000	1,6
171,8000	1,6
172,0000	1,6
172,2000	1,6
172,4000	1,6
172,6000	1,6
172,8000	1,6
173,0000	1,6
173,2000	1,6
173,4000	1,6
173,6000	1,6
173,8000	1,6
174,0000	1,6
174,2000	1,6
174,4000	1,6
174,6000	1,6
174,8000	1,6
175,0000	1,6
175,2000	1,6
175,4000	1,6
175,6000	1,7
175,8000	1,7
176,0000	1,7
176,2000	1,7
176,4000	1,7
176,6000	1,7
176,8000	1,7
177,0000	1,7
177,2000	1,7
177,4000	1,7
177,6000	1,7
177,8000	1,7
178,0000	1,7
178,2000	1,7
178,4000	1,7
178,6000	1,7
178,8000	1,7
179,0000	1,7
179,2000	1,7
179,4000	1,7
179,6000	1,7
179,8000	1,7
180,0000	1,7
180,2000	1,7
180,4000	1,7
180,6000	1,7
180,8000	1,7
181,0000	1,8
181,2000	1,8
181,4000	1,8
181,6000	1,8
181,8000	1,8
182,0000	1,8
182,2000	1,8
182,4000	1,8
182,6000	1,8
182,8000	1,8
183,0000	1,8
183,2000	1,8
183,4000	1,8
183,6000	1,8
183,8000	1,8
184,0000	1,8
